Any,id_rs,rs,id_aga,aga,sexe,edat,Nse_baix,Nou_pacient,pcsm,pccsm,pacients,visites,Poblacio
2016,61,LLEIDA,5,Lleida,0,<6,0,0,0,0,8,16,11070
2016,61,LLEIDA,5,Lleida,0,<6,0,0,1,0,1,24,11070
2016,61,LLEIDA,5,Lleida,0,<6,0,1,0,0,19,63,11070
2016,61,LLEIDA,5,Lleida,0,<6,0,1,1,0,3,17,11070
2016,61,LLEIDA,5,Lleida,0,<6,1,0,0,0,3,6,11070
2016,61,LLEIDA,5,Lleida,0,<6,1,0,1,1,1,1,11070
2016,61,LLEIDA,5,Lleida,0,<6,1,1,0,0,8,24,11070
2016,61,LLEIDA,5,Lleida,0,<6,1,1,1,0,3,15,11070
2016,61,LLEIDA,5,Lleida,0,<6,1,1,1,1,2,33,11070
2016,61,LLEIDA,5,Lleida,0,13-17,0,0,0,0,394,2505,8523
2016,61,LLEIDA,5,Lleida,0,13-17,0,0,1,0,151,1467,8523
2016,61,LLEIDA,5,Lleida,0,13-17,0,0,1,1,50,614,8523
2016,61,LLEIDA,5,Lleida,0,13-17,0,1,0,0,130,576,8523
2016,61,LLEIDA,5,Lleida,0,13-17,0,1,1,0,25,141,8523
2016,61,LLEIDA,5,Lleida,0,13-17,0,1,1,1,7,25,8523
2016,61,LLEIDA,5,Lleida,0,13-17,1,0,0,0,67,526,8523
2016,61,LLEIDA,5,Lleida,0,13-17,1,0,1,0,34,416,8523
2016,61,LLEIDA,5,Lleida,0,13-17,1,0,1,1,23,306,8523
2016,61,LLEIDA,5,Lleida,0,13-17,1,1,0,0,21,107,8523
2016,61,LLEIDA,5,Lleida,0,13-17,1,1,1,0,7,55,8523
2016,61,LLEIDA,5,Lleida,0,13-17,1,1,1,1,2,9,8523
2016,61,LLEIDA,5,Lleida,0,18-24,0,0,0,0,103,398,11591
2016,61,LLEIDA,5,Lleida,0,18-24,0,0,1,0,56,216,11591
2016,61,LLEIDA,5,Lleida,0,18-24,0,0,1,1,59,434,11591
2016,61,LLEIDA,5,Lleida,0,18-24,0,1,0,0,74,223,11591
2016,61,LLEIDA,5,Lleida,0,18-24,0,1,1,0,16,56,11591
2016,61,LLEIDA,5,Lleida,0,18-24,0,1,1,1,13,35,11591
2016,61,LLEIDA,5,Lleida,0,18-24,1,0,0,0,16,52,11591
2016,61,LLEIDA,5,Lleida,0,18-24,1,0,1,0,12,64,11591
2016,61,LLEIDA,5,Lleida,0,18-24,1,0,1,1,31,232,11591
2016,61,LLEIDA,5,Lleida,0,18-24,1,1,0,0,7,14,11591
2016,61,LLEIDA,5,Lleida,0,18-24,1,1,1,0,4,11,11591
2016,61,LLEIDA,5,Lleida,0,18-24,1,1,1,1,4,11,11591
2016,61,LLEIDA,5,Lleida,0,25-34,0,0,0,0,61,273,22044
2016,61,LLEIDA,5,Lleida,0,25-34,0,0,1,0,51,333,22044
2016,61,LLEIDA,5,Lleida,0,25-34,0,0,1,1,118,836,22044
2016,61,LLEIDA,5,Lleida,0,25-34,0,1,0,0,105,220,22044
2016,61,LLEIDA,5,Lleida,0,25-34,0,1,1,0,20,57,22044
2016,61,LLEIDA,5,Lleida,0,25-34,0,1,1,1,31,134,22044
2016,61,LLEIDA,5,Lleida,0,25-34,1,0,0,0,13,40,22044
2016,61,LLEIDA,5,Lleida,0,25-34,1,0,1,0,10,149,22044
2016,61,LLEIDA,5,Lleida,0,25-34,1,0,1,1,63,497,22044
2016,61,LLEIDA,5,Lleida,0,25-34,1,1,0,0,14,42,22044
2016,61,LLEIDA,5,Lleida,0,25-34,1,1,1,0,7,22,22044
2016,61,LLEIDA,5,Lleida,0,25-34,1,1,1,1,11,63,22044
2016,61,LLEIDA,5,Lleida,0,35-44,0,0,0,0,133,542,32844
2016,61,LLEIDA,5,Lleida,0,35-44,0,0,1,0,95,636,32844
2016,61,LLEIDA,5,Lleida,0,35-44,0,0,1,1,150,1198,32844
2016,61,LLEIDA,5,Lleida,0,35-44,0,1,0,0,193,482,32844
2016,61,LLEIDA,5,Lleida,0,35-44,0,1,1,0,42,183,32844
2016,61,LLEIDA,5,Lleida,0,35-44,0,1,1,1,32,147,32844
2016,61,LLEIDA,5,Lleida,0,35-44,1,0,0,0,32,108,32844
2016,61,LLEIDA,5,Lleida,0,35-44,1,0,1,0,36,261,32844
2016,61,LLEIDA,5,Lleida,0,35-44,1,0,1,1,82,763,32844
2016,61,LLEIDA,5,Lleida,0,35-44,1,1,0,0,26,50,32844
2016,61,LLEIDA,5,Lleida,0,35-44,1,1,1,0,11,54,32844
2016,61,LLEIDA,5,Lleida,0,35-44,1,1,1,1,26,151,32844
2016,61,LLEIDA,5,Lleida,0,45-54,0,0,0,0,135,482,28602
2016,61,LLEIDA,5,Lleida,0,45-54,0,0,1,0,86,620,28602
2016,61,LLEIDA,5,Lleida,0,45-54,0,0,1,1,199,1393,28602
2016,61,LLEIDA,5,Lleida,0,45-54,0,1,0,0,139,355,28602
2016,61,LLEIDA,5,Lleida,0,45-54,0,1,1,0,41,112,28602
2016,61,LLEIDA,5,Lleida,0,45-54,0,1,1,1,45,188,28602
2016,61,LLEIDA,5,Lleida,0,45-54,1,0,0,0,44,164,28602
2016,61,LLEIDA,5,Lleida,0,45-54,1,0,1,0,44,266,28602
2016,61,LLEIDA,5,Lleida,0,45-54,1,0,1,1,116,943,28602
2016,61,LLEIDA,5,Lleida,0,45-54,1,1,0,0,35,81,28602
2016,61,LLEIDA,5,Lleida,0,45-54,1,1,1,0,15,49,28602
2016,61,LLEIDA,5,Lleida,0,45-54,1,1,1,1,44,143,28602
2016,61,LLEIDA,5,Lleida,0,55-64,0,0,0,0,96,371,20416
2016,61,LLEIDA,5,Lleida,0,55-64,0,0,1,0,64,380,20416
2016,61,LLEIDA,5,Lleida,0,55-64,0,0,1,1,158,965,20416
2016,61,LLEIDA,5,Lleida,0,55-64,0,1,0,0,91,229,20416
2016,61,LLEIDA,5,Lleida,0,55-64,0,1,1,0,11,38,20416
2016,61,LLEIDA,5,Lleida,0,55-64,0,1,1,1,38,149,20416
2016,61,LLEIDA,5,Lleida,0,55-64,1,0,0,0,45,141,20416
2016,61,LLEIDA,5,Lleida,0,55-64,1,0,1,0,35,214,20416
2016,61,LLEIDA,5,Lleida,0,55-64,1,0,1,1,95,589,20416
2016,61,LLEIDA,5,Lleida,0,55-64,1,1,0,0,18,43,20416
2016,61,LLEIDA,5,Lleida,0,55-64,1,1,1,0,4,10,20416
2016,61,LLEIDA,5,Lleida,0,55-64,1,1,1,1,25,68,20416
2016,61,LLEIDA,5,Lleida,0,6.joulu,0,0,0,0,431,2428,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,0,0,1,0,122,1079,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,0,0,1,1,18,200,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,0,1,0,0,245,1033,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,0,1,1,0,43,232,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,0,1,1,1,2,36,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,1,0,0,0,138,862,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,1,0,1,0,82,1046,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,1,0,1,1,47,685,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,1,1,0,0,76,310,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,1,1,1,0,22,115,13903
2016,61,LLEIDA,5,Lleida,0,6.joulu,1,1,1,1,6,31,13903
2016,61,LLEIDA,5,Lleida,0,65-74,0,0,0,0,68,189,14333
2016,61,LLEIDA,5,Lleida,0,65-74,0,0,1,0,17,99,14333
2016,61,LLEIDA,5,Lleida,0,65-74,0,0,1,1,96,412,14333
2016,61,LLEIDA,5,Lleida,0,65-74,0,1,0,0,48,110,14333
2016,61,LLEIDA,5,Lleida,0,65-74,0,1,1,1,25,55,14333
2016,61,LLEIDA,5,Lleida,0,65-74,1,0,0,0,19,47,14333
2016,61,LLEIDA,5,Lleida,0,65-74,1,0,1,0,5,12,14333
2016,61,LLEIDA,5,Lleida,0,65-74,1,0,1,1,57,278,14333
2016,61,LLEIDA,5,Lleida,0,65-74,1,1,0,0,10,23,14333
2016,61,LLEIDA,5,Lleida,0,65-74,1,1,1,0,1,1,14333
2016,61,LLEIDA,5,Lleida,0,65-74,1,1,1,1,10,30,14333
2016,61,LLEIDA,5,Lleida,0,75+,0,0,0,0,31,71,14096
2016,61,LLEIDA,5,Lleida,0,75+,0,0,1,0,4,33,14096
2016,61,LLEIDA,5,Lleida,0,75+,0,0,1,1,81,244,14096
2016,61,LLEIDA,5,Lleida,0,75+,0,1,0,0,37,79,14096
2016,61,LLEIDA,5,Lleida,0,75+,0,1,1,0,1,3,14096
2016,61,LLEIDA,5,Lleida,0,75+,0,1,1,1,25,62,14096
2016,61,LLEIDA,5,Lleida,0,75+,1,0,0,0,20,48,14096
2016,61,LLEIDA,5,Lleida,0,75+,1,0,1,0,1,4,14096
2016,61,LLEIDA,5,Lleida,0,75+,1,0,1,1,27,103,14096
2016,61,LLEIDA,5,Lleida,0,75+,1,1,0,0,6,16,14096
2016,61,LLEIDA,5,Lleida,0,75+,1,1,1,1,8,16,14096
2016,61,LLEIDA,5,Lleida,1,<6,0,0,0,0,6,9,10489
2016,61,LLEIDA,5,Lleida,1,<6,0,1,0,0,15,58,10489
2016,61,LLEIDA,5,Lleida,1,<6,0,1,1,0,1,2,10489
2016,61,LLEIDA,5,Lleida,1,<6,1,1,0,0,4,17,10489
2016,61,LLEIDA,5,Lleida,1,<6,1,1,1,0,1,2,10489
